category,amt,cnt,year_month
제과/제빵/떡/케익,55713479600.0,4238456.0,202304
중식,33169156719.0,1419884.0,202304
커피/음료,99044293334.0,10911687.0,202304
패스트푸드,41798929331.0,3539503.0,202304
한식,308939074587.0,9637314.0,202304
간이주점,53446095980.0,1207201.0,202305
고기요리,115651965203.0,1993708.0,202305
닭/오리요리,69016708276.0,2076994.0,202305
별식/퓨전요리,31453148881.0,1314831.0,202305
분식,55107840014.0,3930083.0,202305
양식,25239032589.0,732651.0,202305
일식/수산물,92850511519.0,1842028.0,202305
제과/제빵/떡/케익,57545419162.0,4284602.0,202305
중식,33938401479.0,1440456.0,202305
커피/음료,106502687353.0,11865362.0,202305
패스트푸드,42980801080.0,3639810.0,202305
한식,328527296897.0,10160238.0,202305
간이주점,54263556728.0,1231631.0,202306
고기요리,109922583720.0,1941409.0,202306
닭/오리요리,67937036731.0,2074045.0,202306
별식/퓨전요리,29218907506.0,1252949.0,202306
분식,54369109786.0,3871262.0,202306
양식,23801070452.0,721106.0,202306
일식/수산물,84291451690.0,1726358.0,202306
제과/제빵/떡/케익,53048010855.0,4108973.0,202306
중식,32923005769.0,1452727.0,202306
커피/음료,107218548772.0,12280973.0,202306
패스트푸드,41928271316.0,3555795.0,202306
한식,316073171574.0,9972529.0,202306
간이주점,54254703203.0,1214282.0,202307
고기요리,112807792095.0,1960498.0,202307
닭/오리요리,72308601030.0,2170997.0,202307
별식/퓨전요리,29923788273.0,1256904.0,202307
분식,55070715302.0,3787304.0,202307
양식,24900961522.0,715240.0,202307
일식/수산물,84100446241.0,1671297.0,202307
제과/제빵/떡/케익,51868703867.0,3955085.0,202307
중식,34542757331.0,1481194.0,202307
커피/음료,108522071196.0,12176028.0,202307
패스트푸드,42546653456.0,3513499.0,202307
한식,322808320287.0,9914220.0,202307
간이주점,52459918765.0,1181687.0,202308
고기요리,112014439918.0,1959459.0,202308
닭/오리요리,65251315950.0,2040636.0,202308
별식/퓨전요리,30700720371.0,1296447.0,202308
분식,56376570743.0,3903289.0,202308
양식,25166282081.0,721410.0,202308
일식/수산물,85728163595.0,1721345.0,202308
제과/제빵/떡/케익,53156190927.0,4078380.0,202308
중식,34458470410.0,1494908.0,202308
커피/음료,108964024508.0,12386719.0,202308
패스트푸드,43118982179.0,3572837.0,202308
한식,321083341202.0,10068195.0,202308
간이주점,53148004954.0,1172742.0,202309
고기요리,110427737339.0,1907084.0,202309
닭/오리요리,62327794337.0,1933529.0,202309
별식/퓨전요리,31028845243.0,1310170.0,202309
분식,52418379037.0,3794120.0,202309
양식,22960567591.0,668675.0,202309
일식/수산물,88989215306.0,1805798.0,202309
제과/제빵/떡/케익,59634904218.0,4348105.0,202309
중식,33387734212.0,1452268.0,202309
커피/음료,104410672969.0,11961684.0,202309
패스트푸드,41319376747.0,3460351.0,202309
한식,315954907933.0,9861054.0,202309
간이주점,52393510704.0,1169039.0,202310
고기요리,110462945372.0,1948023.0,202310
닭/오리요리,65148143325.0,2029837.0,202310
별식/퓨전요리,35033315768.0,1466580.0,202310
분식,55609979566.0,4073399.0,202310
양식,24176830882.0,719018.0,202310
일식/수산물,89742827505.0,1806440.0,202310
제과/제빵/떡/케익,57286763198.0,4337328.0,202310
중식,35038256081.0,1523870.0,202310
커피/음료,104070300777.0,11835456.0,202310
패스트푸드,42859108879.0,3576590.0,202310
한식,326281077965.0,10305032.0,202310
간이주점,46639927295.0,1007990.0,202311
고기요리,102431815172.0,1790793.0,202311
닭/오리요리,58258729502.0,1817401.0,202311
별식/퓨전요리,33121707484.0,1407082.0,202311
분식,49170793416.0,3660734.0,202311
양식,21600728623.0,637894.0,202311
일식/수산물,83108762137.0,1704007.0,202311
제과/제빵/떡/케익,55466127420.0,4082519.0,202311
중식,32137255060.0,1399192.0,202311
커피/음료,90154471383.0,10016910.0,202311
패스트푸드,38020800601.0,3130801.0,202311
한식,296940583772.0,9440758.0,202311
간이주점,53261940974.0,1077506.0,202312
고기요리,119501634892.0,1893092.0,202312
닭/오리요리,54609672880.0,1798998.0,202312
별식/퓨전요리,36307872980.0,1458690.0,202312
분식,50500312392.0,3600913.0,202312
양식,27455467576.0,683062.0,202312
일식/수산물,102707407902.0,1842490.0,202312
제과/제빵/떡/케익,62104361517.0,4300208.0,202312
중식,35725643169.0,1432007.0,202312
커피/음료,95329031218.0,10009498.0,202312
패스트푸드,40375486726.0,3144539.0,202312
한식,327822382528.0,9589417.0,202312
간이주점,49109515222.0,1099547.0,202401
고기요리,106228199320.0,1927177.0,202401
닭/오리요리,51028116971.0,1826498.0,202401
별식/퓨전요리,33904554623.0,1494072.0,202401
분식,48690268947.0,3687342.0,202401
양식,23363996387.0,718914.0,202401
일식/수산물,83151456688.0,1793528.0,202401
제과/제빵/떡/케익,54255891372.0,4307951.0,202401
중식,33204852465.0,1464683.0,202401
커피/음료,87022340000.0,9931459.0,202401
패스트푸드,38578830042.0,3265923.0,202401
한식,295531665227.0,9461546.0,202401
간이주점,46890193545.0,1038664.0,202402
고기요리,102965370764.0,1815319.0,202402
닭/오리요리,48653098589.0,1695223.0,202402
별식/퓨전요리,30854282893.0,1328948.0,202402
분식,46219101806.0,3391484.0,202402
양식,22620055042.0,674034.0,202402
일식/수산물,82644765076.0,1729993.0,202402
제과/제빵/떡/케익,55053415218.0,4089533.0,202402
중식,32885271944.0,1396945.0,202402
커피/음료,86902185477.0,9825557.0,202402
패스트푸드,38277787912.0,3212916.0,202402
한식,286135978947.0,8894206.0,202402
