year_month,age_group,sex,card_tpbuz_nm_2,amt,cnt
202203,50대,M,디저트/음료,12784238885,1053153
202203,50대,M,별식/퓨전요리,3696614566,184301
202203,50대,M,분식,5113479518,387535
202203,50대,M,양식,1602826029,55099
202203,50대,M,일식/수산물,12311400333,253930
202203,50대,M,중식,3957208145,183171
202203,50대,M,패스트푸드,3630190790,291867
202203,50대,M,한식,36684995065,1157052
202203,60대 이상,F,간이주점,537278331,16792
202203,60대 이상,F,고기요리,6716265441,199142
202203,60대 이상,F,디저트/음료,7086626157,569241
202203,60대 이상,F,별식/퓨전요리,1256615443,67816
202203,60대 이상,F,분식,2123605450,169975
202203,60대 이상,F,양식,519429477,18491
202203,60대 이상,F,일식/수산물,5222395229,148072
202203,60대 이상,F,중식,1088798084,53225
202203,60대 이상,F,패스트푸드,1183657388,99261
202203,60대 이상,F,한식,15603744048,531695
202203,60대 이상,M,간이주점,1302401951,36309
202203,60대 이상,M,고기요리,11079175144,304610
202203,60대 이상,M,디저트/음료,6915741412,525054
202203,60대 이상,M,별식/퓨전요리,2232337603,122385
202203,60대 이상,M,분식,2739281384,208467
202203,60대 이상,M,양식,648633161,23917
202203,60대 이상,M,일식/수산물,8424008957,200106
202203,60대 이상,M,중식,2072230077,106801
202203,60대 이상,M,패스트푸드,1425269367,117324
202203,60대 이상,M,한식,23950587494,807316
202204,30대,F,간이주점,2886781219,71761
202204,30대,F,고기요리,10788439616,258424
202204,30대,F,디저트/음료,16140194716,1615352
202204,30대,F,별식/퓨전요리,1738664662,80088
202204,30대,F,분식,3609866440,298856
202204,30대,F,양식,1942422546,60422
202204,30대,F,일식/수산물,5212013062,112974
202204,30대,F,중식,1716497421,71964
202204,30대,F,패스트푸드,3705739561,320835
202204,30대,F,한식,18829602833,638123
202204,30대,M,간이주점,6981183924,149214
202204,30대,M,고기요리,21112364686,456355
202204,30대,M,디저트/음료,16313133107,1684187
202204,30대,M,별식/퓨전요리,3013143016,140837
202204,30대,M,분식,4701413890,358711
202204,30대,M,양식,2908959698,89653
202204,30대,M,일식/수산물,9512648938,171689
202204,30대,M,중식,3732618380,150953
202204,30대,M,패스트푸드,5230526233,465927
202204,30대,M,한식,32127332026,970547
202204,40대,F,간이주점,2951801624,77423
202204,40대,F,고기요리,15581350300,396484
202204,40대,F,디저트/음료,20334410778,1918886
202204,40대,F,별식/퓨전요리,2448389297,116067
202204,40대,F,분식,5891636507,475558
202204,40대,F,양식,2390046752,82268
202204,40대,F,일식/수산물,7798464482,178337
202204,40대,F,중식,2672923494,124524
202204,40대,F,패스트푸드,4941003081,434828
202204,40대,F,한식,26592394053,896799
202204,40대,M,간이주점,6867015727,144865
202204,40대,M,고기요리,27986094899,612515
202204,40대,M,디저트/음료,19717219731,1817227
202204,40대,M,별식/퓨전요리,4105293221,189433
202204,40대,M,분식,6953597428,513506
202204,40대,M,양식,3229011321,95322
202204,40대,M,일식/수산물,14322969503,254801
202204,40대,M,중식,5187008886,220181
202204,40대,M,패스트푸드,5745641951,481835
202204,40대,M,한식,44418089378,1272839
202204,50대,F,간이주점,1946061383,54487
202204,50대,F,고기요리,14448305664,365808
202204,50대,F,디저트/음료,15025880414,1266351
202204,50대,F,별식/퓨전요리,2226523137,107170
202204,50대,F,분식,4754318277,367623
202204,50대,F,양식,1534166405,56746
202204,50대,F,일식/수산물,8738267620,204805
202204,50대,F,중식,2118046649,96421
202204,50대,F,패스트푸드,3158200760,270488
202204,50대,F,한식,27124434283,890513
202204,50대,M,간이주점,4786801885,106613
202204,50대,M,고기요리,23920458109,550227
202204,50대,M,디저트/음료,14083907442,1166226
202204,50대,M,별식/퓨전요리,3747104783,180215
202204,50대,M,분식,5613308735,411787
202204,50대,M,양식,1909193537,61744
202204,50대,M,일식/수산물,14428524534,274625
202204,50대,M,중식,4058275439,184170
202204,50대,M,패스트푸드,3596600352,300869
202204,50대,M,한식,41834571304,1243058
202204,60대 이상,F,간이주점,674167518,21036
202204,60대 이상,F,고기요리,8207471509,217633
202204,60대 이상,F,디저트/음료,8126983503,624741
202204,60대 이상,F,별식/퓨전요리,1354109374,68677
202204,60대 이상,F,분식,2545146966,191798
202204,60대 이상,F,양식,656505248,21954
202204,60대 이상,F,일식/수산물,6392559045,167582
202204,60대 이상,F,중식,1163355502,55412
202204,60대 이상,F,패스트푸드,1217437436,103024
202204,60대 이상,F,한식,18883245794,604278
202204,60대 이상,M,간이주점,1629658272,43725
202204,60대 이상,M,고기요리,13138834922,325185
202204,60대 이상,M,디저트/음료,7828177520,566338
202204,60대 이상,M,별식/퓨전요리,2289480779,122527
202204,60대 이상,M,분식,3178444880,229420
202204,60대 이상,M,양식,829276319,27017
202204,60대 이상,M,일식/수산물,9923869046,217157
202204,60대 이상,M,중식,2164726339,107712
202204,60대 이상,M,패스트푸드,1441210361,120894
202204,60대 이상,M,한식,27717212602,872695
202205,30대,F,간이주점,3609297404,87983
202205,30대,F,고기요리,13073197084,290040
202205,30대,F,디저트/음료,17496911829,1766874
202205,30대,F,별식/퓨전요리,2058523737,88230
202205,30대,F,분식,4043536644,325865
202205,30대,F,양식,2355950357,68434
202205,30대,F,일식/수산물,6136820063,124899
202205,30대,F,중식,2062199124,80446
202205,30대,F,패스트푸드,3982941012,351261
202205,30대,F,한식,22236554870,714167
202205,30대,M,간이주점,8688175284,182616
202205,30대,M,고기요리,25014168632,498526
202205,30대,M,디저트/음료,17516153015,1835379
202205,30대,M,별식/퓨전요리,3439396326,152724
202205,30대,M,분식,5244477487,384900
202205,30대,M,양식,3370303312,97912
202205,30대,M,일식/수산물,11284477615,187833
202205,30대,M,중식,4275747503,163763
202205,30대,M,패스트푸드,5549920274,500311
202205,30대,M,한식,37695367387,1079609
202205,40대,F,간이주점,3724060190,94556
202205,40대,F,고기요리,18555354575,434550
202205,40대,F,디저트/음료,21883715672,2062600
202205,40대,F,별식/퓨전요리,2795365659,120558
202205,40대,F,분식,6426337860,501373
202205,40대,F,양식,2881051889,91035
202205,40대,F,일식/수산물,9055483289,192196
202205,40대,F,중식,3079705457,133315
202205,40대,F,패스트푸드,5209326493,463076
202205,40대,F,한식,30994366342,981678
202205,40대,M,간이주점,8323504357,173562
202205,40대,M,고기요리,32965085381,665483
202205,40대,M,디저트/음료,21286192054,1966843
202205,40대,M,별식/퓨전요리,4541364806,196219
202205,40대,M,분식,7701902694,546801
202205,40대,M,양식,3933437632,105000
202205,40대,M,일식/수산물,16341976649,271651
202205,40대,M,중식,5911850563,234042
202205,40대,M,패스트푸드,6088281073,513497
202205,40대,M,한식,51126885504,1386909
202205,50대,F,간이주점,2421326862,66220
202205,50대,F,고기요리,16652446529,396826
202205,50대,F,디저트/음료,16138679262,1358422
202205,50대,F,별식/퓨전요리,2446989531,110083
202205,50대,F,분식,5155025905,384841
202205,50대,F,양식,1787072239,61444
202205,50대,F,일식/수산물,9636459869,210889
202205,50대,F,중식,2348235136,101185
202205,50대,F,패스트푸드,3329261747,285861
202205,50대,F,한식,30530855606,953616
202205,50대,M,간이주점,5655475640,125496
202205,50대,M,고기요리,27422797823,593067
202205,50대,M,디저트/음료,15400758019,1255748
202205,50대,M,별식/퓨전요리,3990717693,182781
202205,50대,M,분식,6268457483,439639
202205,50대,M,양식,2246691639,67140
202205,50대,M,일식/수산물,15725898543,285519
202205,50대,M,중식,4480999986,194422
202205,50대,M,패스트푸드,3751750896,314278
